property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
house,sector 17b,8.5,4.0,4.0,2,Old Property,4518.0,1.0,1.0,0.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 81,0.49,2.0,2.0,3,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 61,1.6,2.0,2.0,2,Relatively New,1533.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 107,0.9,2.0,2.0,3+,Relatively New,1237.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,Mid Floor
flat,sector 83,1.75,3.0,3.0,3,Relatively New,1549.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 10a,0.9,2.0,2.0,3,New Property,1087.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,Mid Floor
flat,sector 62,2.15,2.0,2.0,3,Under Construction,1676.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 43,2.5,3.0,2.0,3,Old Property,1676.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 8,0.32,2.0,3.0,1,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 38,3.5,3.0,2.0,3,Moderately Old,1458.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 62,2.1,2.0,2.0,2,New Property,1366.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 82a,0.75,2.0,2.0,2,Relatively New,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 14,6.4,6.0,6.0,3+,Old Property,3150.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
flat,sohna road,0.95,3.0,2.0,3+,New Property,1210.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 108,0.93,2.0,3.0,3,Relatively New,1162.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 88a,1.5,3.0,3.0,2,Relatively New,2056.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 67,3.5,3.0,4.0,3+,Relatively New,2136.0,0.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
flat,sector 70a,2.4,3.0,3.0,3,Relatively New,1947.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 12,0.7,4.0,4.0,1,Moderately Old,1700.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 102,1.39,3.0,3.0,3,Relatively New,1495.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 15,1.4,4.0,3.0,3,Old Property,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 12,1.15,3.0,4.0,2,Old Property,2000.0,0.0,1.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 102,1.4,2.0,2.0,2,New Property,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,High Floor
house,sector 6,0.75,4.0,4.0,2,Moderately Old,480.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 61,1.5,2.0,2.0,2,Under Construction,1333.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 49,0.94,1.0,2.0,2,Moderately Old,746.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 13,2.25,10.0,10.0,2,Old Property,400.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 106,1.05,2.0,2.0,2,New Property,1539.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 9,1.65,2.0,3.0,0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 106,6.3,5.0,6.0,3+,Under Construction,3799.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 110,4.1,5.0,5.0,2,Relatively New,3500.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,sector 102,1.92,3.0,3.0,3,Relatively New,2222.0,1.0,1.0,1.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 113,2.7,3.0,4.0,3+,Relatively New,2217.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 33,9.5,6.0,6.0,3+,Moderately Old,4914.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.8,3.0,4.0,3,Relatively New,1711.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 92,0.6,2.0,2.0,3,Under Construction,1196.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,High Floor
flat,sector 69,1.43,3.0,3.0,2,Relatively New,1429.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 25,8.0,5.0,5.0,3+,Old Property,5778.0,1.0,1.0,0.0,1.0,1.0,2.0,Low,Low Floor
flat,sector 103,0.93,2.0,3.0,3,Relatively New,1613.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 37d,1.0,3.0,3.0,2,Relatively New,1164.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 108,3.95,3.0,4.0,2,Relatively New,2343.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 85,0.72,3.0,3.0,2,Moderately Old,1350.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
house,sector 2,5.0,6.0,6.0,2,Moderately Old,3611.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 72,8.5,5.0,6.0,3+,Relatively New,6300.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 37d,0.75,2.0,2.0,3,Moderately Old,1410.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 95,0.9,3.0,3.0,1,Relatively New,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 90,0.64,2.0,2.0,3,Old Property,1200.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 48,6.4,3.0,4.0,3,Relatively New,2592.0,1.0,1.0,1.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 68,1.32,2.0,2.0,3,Relatively New,1365.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 103,1.34,3.0,3.0,3+,Relatively New,1561.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 36,0.72,3.0,2.0,3,Under Construction,979.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 57,8.0,5.0,4.0,3,Relatively New,2700.0,1.0,1.0,0.0,1.0,0.0,1.0,Low,Low Floor
flat,sector 92,1.55,3.0,4.0,3,Relatively New,1807.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 83,0.8,2.0,2.0,2,Moderately Old,1196.0,0.0,0.0,1.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 86,0.5,2.0,2.0,1,Relatively New,578.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 48,7.65,4.0,4.0,3,Moderately Old,4000.0,1.0,1.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 49,0.8,1.0,1.0,1,Moderately Old,720.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 104,2.25,3.0,4.0,3+,Relatively New,2304.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 85,1.18,2.0,2.0,3,Relatively New,1630.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.79,3.0,2.0,2,New Property,1176.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 70,1.15,2.0,2.0,2,Relatively New,1500.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 62,7.56,4.0,4.0,3+,Relatively New,4200.0,0.0,1.0,0.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 70,1.65,3.0,4.0,3,Relatively New,1587.0,0.0,1.0,0.0,0.0,0.0,2.0,high,Low Floor
flat,sector 50,2.7,3.0,3.0,3+,Moderately Old,2360.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 39,2.0,5.0,4.0,3,Old Property,3556.0,0.0,1.0,0.0,0.0,0.0,2.0,Low,Mid Floor
flat,sector 95,0.17,1.0,1.0,1,Relatively New,3569.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 67a,0.62,2.0,2.0,2,Relatively New,581.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 67,4.75,4.0,4.0,3+,Relatively New,3200.0,1.0,1.0,1.0,1.0,0.0,0.0,high,Low Floor
flat,sector 71,1.1,3.0,3.0,3,Relatively New,1467.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 70,1.5,3.0,5.0,3,Relatively New,1528.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 54,4.85,3.0,4.0,3+,Relatively New,1875.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,High Floor
flat,sector 67,3.39,3.0,4.0,3,Relatively New,2100.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,High Floor
flat,sector 83,0.6,2.0,2.0,2,Relatively New,990.0,0.0,0.0,0.0,0.0,0.0,0.0,high,Low Floor
house,sector 33,11.75,5.0,7.0,3+,Relatively New,5056.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 65,2.8,3.0,3.0,3,Relatively New,1867.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 104,0.6,4.0,3.0,1,Moderately Old,1170.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 54,6.75,4.0,4.0,2,Moderately Old,2077.0,0.0,1.0,0.0,0.0,0.0,2.0,Medium,Mid Floor
flat,sector 67,2.32,3.0,4.0,3+,Moderately Old,1765.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 95,0.32,2.0,2.0,1,Relatively New,563.0,0.0,0.0,0.0,0.0,1.0,2.0,Low,Mid Floor
house,sector 12,0.7,3.0,3.0,0,Relatively New,1160.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 7,2.43,4.0,4.0,2,Old Property,345.0,1.0,0.0,1.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 84,2.2,4.0,4.0,3,Relatively New,3222.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 4,2.3,4.0,4.0,3,Old Property,160.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,Low Floor
house,sector 55,5.6,6.0,4.0,3,Old Property,2700.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 50,12.25,5.0,7.0,3+,Relatively New,5850.0,1.0,1.0,0.0,1.0,1.0,0.0,high,Low Floor
house,sector 33,8.0,6.0,5.0,3+,Relatively New,4500.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 99,3.25,4.0,4.0,3+,New Property,3043.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 99,1.15,2.0,2.0,2,New Property,1236.0,0.0,0.0,0.0,0.0,1.0,0.0,Medium,Low Floor
flat,sector 102,1.75,3.0,3.0,3,Relatively New,1465.0,1.0,1.0,0.0,1.0,1.0,1.0,Low,Mid Floor
house,sector 28,1.45,3.0,2.0,1,Relatively New,1800.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 55,4.6,3.0,3.0,3+,Old Property,2160.0,0.0,1.0,1.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 37c,0.98,3.0,4.0,3,Relatively New,1661.0,0.0,1.0,0.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 65,1.3,2.0,2.0,2,Relatively New,813.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 25,10.5,5.0,5.0,3,Moderately Old,3618.0,1.0,1.0,0.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.92,4.0,5.0,3+,Moderately Old,1895.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 79,2.0,3.0,4.0,3+,Relatively New,2629.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Low Floor
flat,sector 65,2.25,3.0,3.0,3,Relatively New,1600.0,1.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 60,3.75,4.0,4.0,3,Relatively New,2650.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,High Floor
flat,sector 2,0.98,2.0,2.0,3,Moderately Old,1418.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 2,4.0,4.0,4.0,3+,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 81,0.75,2.0,2.0,2,Moderately Old,1397.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 108,0.9,2.0,3.0,3,Relatively New,978.23,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 108,1.6,3.0,4.0,3+,Relatively New,1500.29,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 66,8.7,4.0,5.0,2,New Property,2250.0,1.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 65,6.15,3.0,4.0,2,Relatively New,3355.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 53,7.4,4.0,4.0,3,Relatively New,2477.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 108,1.65,3.0,4.0,3,Moderately Old,1771.32,1.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 92,0.82,3.0,3.0,3+,Relatively New,1523.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 71,0.98,3.0,3.0,3,Moderately Old,1467.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 84,1.15,2.0,2.0,3,Relatively New,1361.0,1.0,0.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 50,8.5,4.0,4.0,3,Moderately Old,11111.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 89,1.14,3.0,3.0,2,New Property,1581.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 81,0.87,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 54,1.55,3.0,3.0,3+,Moderately Old,2000.0,0.0,0.0,0.0,1.0,1.0,0.0,Medium,Mid Floor
house,sector 61,2.01,3.0,3.0,3,New Property,1549.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 103,2.0,4.0,5.0,3+,New Property,2418.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 72,4.0,4.0,5.0,3+,Relatively New,2702.0,0.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
flat,sector 82,1.0,2.0,2.0,2,Relatively New,1300.0,1.0,0.0,0.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 90,1.42,4.0,4.0,3+,Moderately Old,2141.0,0.0,1.0,1.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,2.0,3.0,4.0,3+,Relatively New,2629.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Low Floor
flat,sector 36a,0.4,1.0,1.0,1,Relatively New,436.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 24,14.0,4.0,5.0,3,Old Property,6300.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 49,1.9,3.0,3.0,3,Old Property,1600.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,Low Floor
house,sector 7,1.16,2.0,4.0,2,Moderately Old,1102.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 65,3.67,3.0,3.0,2,Relatively New,2040.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
house,sector 46,2.2,3.0,3.0,2,Old Property,909.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 12,1.5,5.0,5.0,2,Old Property,1350.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.79,3.0,2.0,2,New Property,1176.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
house,sector 7,1.2,2.0,4.0,2,Old Property,1072.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,0.9,2.0,2.0,3,Relatively New,1450.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,manesar,0.81,3.0,3.0,3+,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 92,1.6,3.0,3.0,3,Relatively New,1766.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 88a,1.15,2.0,2.0,1,New Property,120.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 84,0.85,2.0,2.0,3,New Property,1223.0,1.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 79,1.3,3.0,3.0,3+,Relatively New,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 61,2.55,3.0,3.0,2,New Property,1630.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
house,sector 63,1.5,3.0,3.0,2,New Property,2385.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 74,2.25,3.0,3.0,2,Relatively New,1938.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Mid Floor
house,sector 12,0.38,3.0,3.0,3,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,0.71,2.0,2.0,3+,New Property,1281.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 93,0.36,2.0,2.0,2,Relatively New,604.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 89,0.42,2.0,2.0,2,Relatively New,770.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 2,1.55,3.0,4.0,3+,Moderately Old,1739.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 113,2.0,3.0,3.0,2,Under Construction,1508.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 82a,2.7,4.0,4.0,3+,Moderately Old,2576.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 86,0.43,2.0,2.0,1,New Property,557.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,Mid Floor
flat,sector 85,1.05,2.0,2.0,3+,Relatively New,1514.0,0.0,0.0,1.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 84,0.3,1.0,1.0,1,New Property,500.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,High Floor
flat,sector 56,1.55,3.0,3.0,3+,Moderately Old,1812.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 4,0.65,4.0,2.0,2,Moderately Old,585.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37c,1.05,3.0,3.0,3,Relatively New,1739.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 72,4.1,3.0,3.0,3,Moderately Old,2310.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,0.36,2.0,2.0,1,New Property,546.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 57,1.5,3.0,2.0,3+,Moderately Old,273.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
house,sector 48,8.25,4.0,4.0,3+,Relatively New,2160.0,0.0,1.0,1.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 69,1.37,3.0,3.0,1,Relatively New,1393.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 82,0.97,3.0,4.0,2,Relatively New,1621.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 37c,1.0,3.0,3.0,3+,Under Construction,1698.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
