,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1727,0.0,94.0,3.0,4.0,4.0,3.0,1760.0,1.0,0.0,2.0,2.0,0.0,2.34
1728,0.0,107.0,3.0,3.0,0.0,3.0,1424.0,0.0,0.0,1.0,1.0,1.0,0.85
1729,0.0,105.0,3.0,4.0,3.0,1.0,1766.0,1.0,0.0,1.0,1.0,2.0,1.0
1730,0.0,41.0,2.0,2.0,2.0,1.0,1533.0,0.0,0.0,1.0,1.0,0.0,1.1
1731,0.0,18.0,4.0,6.0,4.0,3.0,3573.33,1.0,0.0,1.0,1.0,0.0,5.31
1732,0.0,68.0,3.0,3.0,1.0,4.0,2740.0,1.0,0.0,1.0,0.0,0.0,5.5
1733,0.0,95.0,4.0,5.0,4.0,3.0,2535.0,0.0,0.0,1.0,1.0,1.0,1.75
1734,0.0,45.0,3.0,3.0,3.0,1.0,1500.0,0.0,0.0,0.0,0.0,2.0,1.05
1735,1.0,66.0,4.0,4.0,2.0,0.0,1728.0,1.0,0.0,0.0,0.0,2.0,3.49
1736,0.0,75.0,2.0,2.0,3.0,3.0,1592.0,0.0,0.0,1.0,0.0,2.0,2.25
1737,0.0,36.0,2.0,2.0,2.0,4.0,957.0,0.0,0.0,1.0,1.0,0.0,1.1
1738,1.0,106.0,4.0,4.0,4.0,0.0,3400.0,1.0,1.0,0.0,1.0,2.0,2.5
1739,1.0,54.0,5.0,4.0,4.0,0.0,1449.0,1.0,0.0,0.0,1.0,2.0,3.55
1740,1.0,59.0,4.0,4.0,2.0,2.0,3400.0,1.0,0.0,1.0,1.0,2.0,7.0
1741,1.0,32.0,9.0,9.0,0.0,3.0,7000.0,0.0,0.0,1.0,0.0,1.0,13.5
1742,1.0,32.0,3.0,9.0,2.0,1.0,11111.0,0.0,0.0,1.0,0.0,2.0,8.0
1743,0.0,76.0,2.0,2.0,2.0,3.0,1049.0,0.0,0.0,1.0,0.0,2.0,1.32
1744,0.0,100.0,3.0,4.0,3.0,3.0,1341.0,0.0,0.0,1.0,0.0,1.0,1.25
1745,0.0,89.0,3.0,4.0,4.0,1.0,1600.0,1.0,0.0,0.0,1.0,0.0,2.1
1746,0.0,113.0,2.0,2.0,2.0,3.0,520.0,0.0,0.0,1.0,0.0,2.0,0.28
1747,1.0,59.0,6.0,6.0,0.0,0.0,4861.0,0.0,0.0,1.0,0.0,1.0,13.2
1748,1.0,4.0,3.0,2.0,2.0,2.0,120.0,0.0,0.0,1.0,0.0,1.0,1.0
1749,0.0,87.0,3.0,3.0,3.0,1.0,2018.0,0.0,1.0,1.0,1.0,0.0,2.7
1750,0.0,107.0,3.0,3.0,0.0,3.0,1572.0,0.0,0.0,1.0,0.0,2.0,0.7
1751,0.0,75.0,3.0,3.0,2.0,3.0,1650.0,1.0,0.0,1.0,2.0,2.0,2.35
1752,0.0,94.0,3.0,3.0,4.0,3.0,1931.0,1.0,0.0,2.0,2.0,0.0,2.25
1753,0.0,46.0,3.0,3.0,3.0,3.0,1389.0,0.0,0.0,1.0,0.0,1.0,1.1
1754,1.0,9.0,3.0,2.0,1.0,0.0,3889.0,0.0,0.0,1.0,0.0,1.0,1.15
1755,0.0,103.0,3.0,3.0,3.0,1.0,1064.0,0.0,1.0,1.0,1.0,2.0,1.2
1756,0.0,13.0,3.0,4.0,3.0,3.0,1860.0,1.0,0.0,1.0,2.0,2.0,2.2
1757,0.0,67.0,4.0,5.0,3.0,3.0,3182.0,1.0,0.0,0.0,0.0,0.0,4.85
1758,0.0,80.0,4.0,6.0,4.0,3.0,2818.0,1.0,0.0,1.0,2.0,0.0,3.1
1759,0.0,103.0,2.0,2.0,2.0,1.0,1390.0,0.0,0.0,1.0,0.0,0.0,0.65
1760,0.0,46.0,3.0,3.0,3.0,3.0,1700.0,0.0,0.0,1.0,1.0,2.0,1.1
1761,0.0,113.0,2.0,2.0,1.0,3.0,509.0,0.0,0.0,0.0,0.0,2.0,0.27
1762,0.0,45.0,2.0,2.0,1.0,3.0,850.0,0.0,0.0,0.0,2.0,2.0,0.35
1763,1.0,76.0,4.0,4.0,4.0,3.0,3240.0,1.0,1.0,0.0,2.0,2.0,12.0
1764,0.0,113.0,3.0,3.0,3.0,3.0,1344.0,0.0,0.0,1.0,2.0,2.0,0.78
1765,0.0,107.0,3.0,4.0,3.0,0.0,1778.0,0.0,0.0,1.0,1.0,1.0,0.75
1766,0.0,91.0,2.0,2.0,3.0,3.0,1578.0,0.0,0.0,1.0,1.0,0.0,1.45
1767,0.0,73.0,3.0,3.0,3.0,1.0,2000.0,0.0,0.0,1.0,0.0,2.0,3.0
1768,1.0,57.0,4.0,4.0,3.0,1.0,60.0,0.0,0.0,0.0,0.0,2.0,1.6
1769,0.0,8.0,3.0,4.0,4.0,3.0,2074.0,1.0,0.0,1.0,1.0,0.0,1.75
1770,0.0,87.0,2.0,2.0,2.0,1.0,1290.0,0.0,0.0,0.0,2.0,0.0,1.4
1771,0.0,98.0,2.0,2.0,3.0,1.0,1223.0,0.0,0.0,1.0,0.0,2.0,0.85
1772,1.0,59.0,4.0,4.0,3.0,0.0,3240.0,1.0,0.0,1.0,0.0,1.0,9.8
1773,0.0,82.0,4.0,5.0,4.0,3.0,2174.0,1.0,0.0,0.0,0.0,1.0,2.0
1774,0.0,10.0,2.0,2.0,4.0,3.0,940.0,0.0,0.0,1.0,0.0,1.0,0.88
1775,0.0,65.0,1.0,1.0,1.0,0.0,839.0,0.0,0.0,1.0,1.0,1.0,0.65
1776,0.0,75.0,4.0,4.0,3.0,3.0,1975.0,1.0,0.0,1.0,0.0,1.0,2.85
1777,0.0,107.0,4.0,3.0,3.0,4.0,2093.0,1.0,0.0,1.0,1.0,2.0,1.22
1778,1.0,32.0,5.0,6.0,3.0,2.0,2700.0,1.0,1.0,0.0,1.0,2.0,10.0
1779,0.0,80.0,3.0,3.0,1.0,3.0,1292.0,0.0,0.0,1.0,1.0,0.0,1.36
1780,0.0,85.0,4.0,4.0,4.0,1.0,4000.0,1.0,0.0,0.0,2.0,1.0,6.75
1781,1.0,81.0,2.0,2.0,2.0,0.0,1080.0,0.0,0.0,0.0,1.0,1.0,1.55
1782,0.0,95.0,2.0,2.0,4.0,3.0,1027.0,0.0,0.0,1.0,1.0,1.0,0.63
1783,0.0,84.0,1.0,1.0,2.0,1.0,294.0,0.0,0.0,1.0,0.0,1.0,0.39
1784,0.0,71.0,2.0,2.0,2.0,4.0,1244.0,0.0,0.0,1.0,1.0,2.0,1.7
1785,0.0,79.0,4.0,4.0,3.0,1.0,1811.0,0.0,0.0,1.0,0.0,1.0,1.7
